postComment,postCommentAuthor,postCommentTime_final,isSeller,postCommentLength,lns,salesQuantity,producePrice,productBought_ACHAR,productBought_BCP,productBought_BMC,productBought_BP,productBought_BS,productBought_BSS,productBought_BST,productBought_BT78,productBought_BTT,productBought_ER,productBought_FG,productBought_KBP,productBought_KKM,productBought_KN11,productBought_LCT33,productBought_MFC,productBought_NOSTOCK,productBought_OLP239,productBought_OTAK,productBought_PCT,productBought_PR,productBought_RGB,productBought_RGSS,productBought_RST,productBought_SCF,productBought_SL399,productBought_STF,productBought_TPT22,productBought_WAITLONGLONG,productBought_WAK,productBought_WBF
Good morning OSS ,Khym Hoon Sung,00:00:33,0,3,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS     ,Jack Daniel,00:00:38,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
LNS ,Jennie Gan,00:00:47,0,1,1,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Good morning miko and OSS team ,Jennie Gan,00:00:57,0,6,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Lns oss,Doris Pay,00:01:01,0,2,1,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
BIG FISHES!!! 2 X COD TAIL PORTION 1.0-1.2 KG/ PCS ( ST) @ $111.11 Comment PCT+1 below to join the Sale,OceanStar Seafood,00:01:01,1,21,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Mrg miko,Doris Pay,00:01:05,0,2,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
good morning Miko  team!!,Yvonne Leong,00:01:07,0,4,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Ivy Ng Lee Cheng,00:01:17,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Tan Siew Kuan,00:01:26,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Lns,Ong Patsy,00:01:27,0,1,1,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
CRAZY DEAL!!! 2 X COD TAIL PORTION 1.0-1.2 KG/ PCS ( ST) @ $111.11 Comment PCT+1 below to join the Sale,OceanStar Seafood,00:01:29,1,21,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:01:32,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Jennie Gan,00:01:33,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
PREMIUM GRADE SALMON 2.2-2.4 KG/ PCS @58.80 Comment SS588+1 below to join the Sale,OceanStar Seafood,00:01:37,1,14,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:01:40,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS LNS,Ong Patsy,00:01:44,0,2,1,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
BALAI THREADFIN WHOLE 5.4-5.8 KG/ PCS @$111.10 Comment BTW111+1 below to join the Sale,OceanStar Seafood,00:01:45,1,14,0,0,$111.10  BTW111+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:01:47,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:01:53,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
LNS,Ivy Ng Lee Cheng,00:01:53,0,1,1,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
LOCAL CATCH THREADFIN 1.3-1.6 KG/ PCS @$33.30 Comment LCT33+1 below to join the Sale,OceanStar Seafood,00:01:55,1,14,0,0,$33.30  LCT33+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
SALMON TROUT WHOLE 4.0-4.3 KG/ PCS @$108.00 Comment STW+1 below to join the Sale,OceanStar Seafood,00:02:05,1,14,0,0,$108.00  STW+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Tan Siew Kuan,00:02:10,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Ivy Ng Lee Cheng,00:02:10,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
RED SNAPPER WHOLE 1.7-1.9 KG/ PCS @$33.33 Comment RS33+1 below to join the Sale,OceanStar Seafood,00:02:13,1,14,0,0,$33.33  RS33+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:02:26,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
