video_for,totalEmojiReaction,views,videoLength,numSellerComments,numComments,lnsQuantity,salesQuantity,numProducts,totalRevenue,frequencySeller,averageCompound
ebeveadmin/videos/241945361307367,46,1800,5746,50,1255,24,114,38,1409.0,114.92,0.0031446540880503
ebeveadmin/videos/252840063350669,30,1600,4764,29,825,27,46,19,301.6,164.27586206896552,0.0052356020942408
ebeveadmin/videos/2999090193679509,29,912,4067,28,343,16,35,23,350.0,145.25,0.0084745762711864
ebeveadmin/videos/331382632125428,21,1100,4246,21,515,6,28,18,275.0,202.1904761904762,0.0068027210884353
ebeveadmin/videos/914887879433670,30,905,6385,39,964,26,67,25,561.0,163.71794871794873,0.0021786492374727
OCEANSTARLIVE/videos/2174138006061999,27,1200,4413,97,1972,9,105,34,1717.83,45.49484536082474,0.0034482758620689
OCEANSTARLIVE/videos/263473255843186,18,608,4701,131,2478,12,29,52,283.18,35.88549618320611,0.003584229390681
OCEANSTARLIVE/videos/440316487506965,20,523,4730,120,2351,4,56,48,758.13,39.41666666666666,0.0035087719298245
OCEANSTARLIVE/videos/581200849664350,16,633,4432,133,2486,3,59,46,733.09,33.32330827067669,0.0036764705882352
OCEANSTARLIVE/videos/869455797269649,17,439,5016,119,2508,10,86,47,689.48,42.15126050420168,0.0033222591362126
firstmarketonlinebidding/videos/1154589955062118,29,2800,3726,52,1840,51,244,63,2212.3,71.65384615384616,0.0028328611898017
firstmarketonlinebidding/videos/2316804911784261,34,1800,4175,81,5344,69,281,91,2714.6,51.54320987654321,0.0021141649048625
firstmarketonlinebidding/videos/2947780545468317,16,1100,4578,63,3426,59,276,94,2682.9,72.66666666666667,0.002375296912114
firstmarketonlinebidding/videos/393831265391428,22,1400,4831,71,5657,43,290,92,2912.7,68.04225352112677,0.0023584905660377
firstmarketonlinebidding/videos/4005781892840378,16,1300,4242,66,5774,72,209,92,2074.6,64.27272727272727,0.0026525198938992
